Sat Mar 26 17:14:11 2022    code_analysis/output.dat

         148516617 function calls (148402911 primitive calls) in 763.523 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      536    0.001    0.000    0.004    0.000 C:\Users\Adam\anaconda3\lib\re.py:203(sub)
      536    0.002    0.000    0.002    0.000 {method 'sub' of 're.Pattern' objects}
      534    0.004    0.000    0.009    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:670(add)
      534    0.001    0.000    0.005    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:1304(safe_name)
      534    0.001    0.000    0.030    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:2563(__init__)
      534    0.004    0.000    0.117    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:2576(from_location)
      532    0.001    0.000    0.052    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:2027(<listcomp>)
      532    0.001    0.000    0.055    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:2021(_by_version)
      523    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      516    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\inspect.py:487(getmro)
      516    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:1929(__init__)
      516    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:3143(_always_object)
      516    0.002    0.000    0.002    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:3153(_find_adapter)
      515    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
      515    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      513    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      500    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
   491/28    0.002    0.000    0.006    0.000 C:\Users\Adam\anaconda3\lib\sre_compile.py:71(_compile)
      491    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      488    0.001    0.000    0.007    0.000 C:\Users\Adam\anaconda3\lib\site-packages\pkg_resources\__init__.py:2300(file_ns_handler)
      483    0.001    0.000    0.003    0.000 C:\Users\Adam\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:52(_wrapfunc)
      482    0.012    0.000    0.034    0.000 D:\Documents\Coding\Chess\ChessMain.py:212(highlight_square)
      471    0.000    0.000    0.000    0.000 C:\Users\Adam\anaconda3\lib\copyreg.py:90(__newobj__)
      471    0.001    0.000    0.003    0.000 C:\Users\Adam\anaconda3\lib\copy.py:66(copy)
      471    0.001    0.000    0.001    0.000 C:\Users\Adam\anaconda3\lib\copy.py:258(_reconstruct)
